bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,10,30,43.0,#214909,265.597031064,43.717513464,34.481781716,81.999955441
D/S1W2,10,31,32.0,#214909,265.724392367,43.548726667,34.045239791,81.999955441
D/S1W2,5,22,23.0,#153578,2.595628104,68.300580459,6.013765516,87.375652181
D/S1W2,7,0,31.0,#163996,354.95437517,72.829201534,18.436719815,87.755651974
D/S1W2,7,42,28.0,#153578,323.768500174,58.511970223,-26.415839632,87.755651974
D/S1W2,8,22,14.0,#153578,319.779238032,53.39042155,-38.453624722,87.755651974
D/S1W2,10,15,50.0,#163996,311.09399552,49.629849461,-39.65201049,87.755651974
D/S1W2,3,35,11.0,#148772,22.723373869,64.19785537,2.084353175,79.375656528
D/S1W2,5,22,42.0,#153578,0.981157983,68.328007945,5.697504701,87.755651974
D/S1W2,7,20,15.0,#163996,343.10013419,71.886799076,13.312219128,87.755651974
D/S1W2,10,58,46.0,#233793,6.641823265,64.555971087,-2.75703981,87.755651974
D/S1W2,8,39,44.0,#297240,187.420867169,46.048958813,189.57427675,67.375663049
D/S1W2,3,45,56.0,#319416,47.856618208,52.56193071,28.378165599,87.375652138
D/S1W2,3,55,24.0,#319416,47.418389122,54.011976146,29.174002301,87.375652138
D/S1W2,4,15,4.0,#319416,46.128536779,56.984371798,30.389447663,87.375652139
D/S1W2,4,24,28.0,#319416,45.303386828,58.379451834,30.759439582,87.37565214
D/S1W2,5,53,2.0,#10134,43.170556931,48.127741935,13.081978797,87.375652143
D/S1W2,6,2,25.0,#10134,42.869787172,49.454830274,14.147951852,87.375652143
D/S1W2,6,28,32.0,#10134,41.550222253,53.09603955,16.481673229,87.375652143
D/S1W2,6,38,44.0,#10134,40.814841394,54.488437596,17.135313935,87.375652144
D/S1W2,7,1,19.0,#14835,48.870419688,54.15106891,32.226328756,87.375652144
D/S1W2,7,11,38.0,#14835,48.308479274,55.755094991,32.953802241,87.375652144
D/S1W2,7,29,20.0,#14835,46.980963451,58.467914407,33.81273154,87.375652144
D/S1W2,7,38,47.0,#14835,46.054087638,59.889437781,34.06842754,87.375652144
D/S1W2,8,4,19.0,#30813,56.729801185,46.80131156,43.26196623,87.375652143
D/S1W2,8,15,12.0,#30813,56.905396993,48.689416323,44.923785027,87.375652144
D/S1W2,8,38,2.0,#30813,56.973583146,52.657515313,47.780659752,87.375652143
D/S1W2,8,53,14.0,#30813,56.748148479,55.296202233,41.198433831,79.375656495
D/S1W2,11,14,48.0,#54213,135.734678771,41.032762096,184.664899027,49.375672808
D/S1W2,11,16,58.0,#54213,136.323013247,41.344563812,184.662112466,49.375672808
D/S1W2,11,53,4.0,#63793,136.610533104,43.740236539,183.539598492,53.375670633
D/S1W2,12,2,38.0,#63793,139.403093382,45.067026838,183.23861506,53.375670633
D/S1W2,12,2,40.0,#63793,139.413052575,45.071522333,183.237166274,53.375670633
D/S1W2,12,49,46.0,#74293,141.024814133,48.207877974,182.802662506,59.37566737
D/S1W2,12,49,47.0,#74293,141.03016889,48.210050689,182.801498209,59.37566737
D/S1W2,12,58,7.0,#74293,143.765107279,49.26411779,182.135228821,59.37566737
D/S1W2,5,51,4.0,#41295,85.477044411,29.025028725,35.976281256,-1.819879088
D/S1W2,5,51,5.0,#41295,85.479243279,29.028472498,35.987931355,-1.813505086
D/S1W2,5,51,12.0,#41295,85.494636811,29.052579195,36.069447281,-1.768856813
